vrstni_red,albumi,leta,avtorji,podzvrsti,ocene,st_glasov
86.,Eremita,(2012),Ihsahn,Avantgarde,8.10,268
87.,Escape,(2002),Ram-Zet,Avantgarde,8.09,22
88.,Grindstone,(2007),Shining (NOR),Avantgarde,8.09,22
89.,Deadlands,(2002),Madder Mortem,Avantgarde,8.09,46
90.,Intra,(2005),Ram-Zet,Avantgarde,8.09,23
91.,Suspended Animation,(2005),Fant&ocirc;mas,Avantgarde,8.08,39
92.,Five Deadly Venoms,(2010),Shaolin Death Squad,Avantgarde,8.08,38
93.,Blackjazz,(2010),Shining (NOR),Avantgarde,8.07,149
94.,Choirs Of The Eye,(2003),Kayo Dot,Avantgarde,8.05,44
95.,In Your Blood,(2007),Cadaveria,Avantgarde,8.05,61
96.,Neutralized,(2009),Ram-Zet,Avantgarde,8.04,23
97.,The Malefactor&#039;s Bloody Register,(2010),Vulture Industries,Avantgarde,8.04,50
98.,Eight Ways,(2009),Madder Mortem,Avantgarde,8.02,64
99.,Gallows Gallery,(2005),Sigh,Avantgarde,8.02,65
1.,The Downward Spiral,(1994),Nine Inch Nails,Industrial,8.70,288
2.,Streetcleaner,(1989),Godflesh,Industrial,8.69,103
3.,U.S.C.H!,(2008),Turmion K&auml;til&ouml;t,Industrial,8.67,30
4.,City,(1997),Strapping Young Lad,Industrial,8.66,372
5.,Demanufacture,(1995),Fear Factory,Industrial,8.64,491
6.,Deathconsciousness,(2008),Have A Nice Life,Industrial,8.62,29
7.,Mutter,(2001),Rammstein,Industrial,8.57,782
8.,Alien,(2005),Strapping Young Lad,Industrial,8.57,305
9.,Killing Joke,(2003),Killing Joke,Industrial,8.57,61
10.,Distorted Delusions,(2014),Fear Of Domination,Industrial,8.56,25
11.,Ultraviolence &Uuml;ber Alles,(2002),The CNK,Industrial,8.55,20
12.,The Fragile,(1999),Nine Inch Nails,Industrial,8.53,182
13.,Antares,(2007),Sybreed,Industrial,8.49,65
14.,Antagonist,(2011),Neurotech,Industrial,8.49,99
15.,Symbols,(1997),KMFDM,Industrial,8.47,40
16.,"Astro Creep: 2000 - Songs Of Love, Destruction And Other Synthetic Delusions Of The Electric Head",(1995),White Zombie,Industrial,8.46,155
17.,Colma,(1998),Buckethead,Industrial,8.44,59
18.,Hosannas From The Basements Of Hell,(2006),Killing Joke,Industrial,8.44,52
19.,Nihil,(1995),KMFDM,Industrial,8.42,45
20.,&#922;&#917;&#934;&#913;&#923;&#919;&#926;&#920;,(1992),Ministry,Industrial,8.42,182
21.,Antichrist Superstar,(1996),Marilyn Manson,Industrial,8.38,172
22.,Hoitovirhe,(2004),Turmion K&auml;til&ouml;t,Industrial,8.38,29
23.,Pure,(1992),Godflesh,Industrial,8.38,45
24.,Pirun Nyrkki,(2006),Turmion K&auml;til&ouml;t,Industrial,8.37,27
25.,Holy Wood (In The Shadow Of The Valley Of Death),(2000),Marilyn Manson,Industrial,8.35,141
26.,Rio Grande Blood,(2006),Ministry,Industrial,8.34,125
27.,Anomalia,(2012),Khonsu,Industrial,8.34,35
28.,Crime Slunk Scene,(2006),Buckethead,Industrial,8.32,31
29.,Pandemonium,(1994),Killing Joke,Industrial,8.31,48
30.,Pretty Hate Machine,(1989),Nine Inch Nails,Industrial,8.30,178
31.,Wunschkind,(1996),Oomph!,Industrial,8.29,21
32.,The Pulse Of Awakening,(2009),Sybreed,Industrial,8.29,69
33.,Pylon,(2015),Killing Joke,Industrial,8.28,46
34.,Hau Ruck,(2005),KMFDM,Industrial,8.27,41
35.,WWIII,(2003),KMFDM,Industrial,8.27,41
36.,Vanitas,(2012),Anaal Nathrakh,Industrial,8.27,207
37.,Sehnsucht,(1997),Rammstein,Industrial,8.26,590
38.,The New Black,(2006),Strapping Young Lad,Industrial,8.26,275
39.,Hellbilly Deluxe,(1998),Rob Zombie,Industrial,8.23,239
40.,Genexus,(2015),Fear Factory,Industrial,8.22,197
41.,MMXII,(2012),Killing Joke,Industrial,8.22,64
42.,The Smell Of Rain,(2001),Mortiis,Industrial,8.22,41
43.,The Mind Is A Terrible Thing To Taste,(1989),Ministry,Industrial,8.21,118
44.,Damage Theory,(2010),Illidiance,Industrial,8.21,33
