vrstni_red,albumi,leta,avtorji,podzvrsti,ocene,st_glasov
27.,Angels Of Distress,(2001),Shape Of Despair,Doom,8.71,217
28.,Revelations,(2006),The Prophecy,Doom,8.71,28
29.,R&euml;v&euml;&uuml;rt,(2011),&Ouml;xx&ouml; X&ouml;&ouml;x,Doom,8.71,21
30.,The Great Cold Distance,(2006),Katatonia,Doom,8.70,864
31.,A Wintersunset...,(1996),Empyrium,Doom,8.70,227
32.,Somnium Obmutum,(1996),Estatic Fear,Doom,8.70,149
33.,The Call Of The Wretched Sea,(2006),Ahab,Doom,8.70,270
34.,Viva Emptiness: Anti-Utopian MMXIII Edition,(2013),Katatonia,Doom,8.69,51
35.,Wordless Hope,(2006),Inborn Suffering,Doom,8.69,36
36.,Icon,(1993),Paradise Lost,Doom,8.69,544
37.,Rain Without End,(1997),October Tide,Doom,8.69,155
38.,Aeternum Vale,(2006),Doom:VS,Doom,8.69,137
39.,Chapter 1: Delirium,(2007),Colosseum,Doom,8.68,63
40.,Illusion&#039;s Play,(2004),Shape Of Despair,Doom,8.68,158
41.,Locus Horrendus - The Night Cries Of A Sullen Soul...,(2002),Desire,Doom,8.67,58
42.,Tears Of Mortal Solitude,(2003),Forest Stream,Doom,8.67,108
43.,Quietus,(2001),Evoken,Doom,8.67,104
44.,Damned When Dead,(2013),Mael M&oacute;rdha,Doom,8.67,24
45.,Dead Words Speak,(2008),Doom:VS,Doom,8.66,133
46.,Reason,(2004),Officium Triste,Doom,8.66,74
47.,Metridium Fields,(2006),Giant Squid,Doom,8.66,29
48.,Memorandum,(1999),Lacrimas Profundere,Doom,8.66,106
49.,"Songs Of Darkness, Words Of Light",(2004),My Dying Bride,Doom,8.65,428
50.,Last CD Before Doomsday,(2004),Worship,Doom,8.65,26
51.,Mythical & Magical,(2006),Pagan Altar,Doom,8.65,37
52.,Stream Of Misery,(2007),Ophis,Doom,8.64,25
53.,Relic Dances,(2004),Silent Stream Of Godless Elegy,Doom,8.64,39
54.,Through The Eyes Of A Mad,(2009),Wine From Tears,Doom,8.64,100
55.,Where Lovers Mourn,(2003),Draconian,Doom,8.63,427
56.,Solinari,(1999),Morgion,Doom,8.63,30
57.,Infinity... A Timeless Journey Through An Emotional Dream,(1996),Desire,Doom,8.63,43
58.,October Rust,(1996),Type O Negative,Doom,8.63,325
59.,Dust,(2001),Mourning Beloveth,Doom,8.63,62
60.,Futile,(1999),Rapture,Doom,8.62,124
61.,Aava Tuulen Maa,(2009),Kauan,Doom,8.62,100
62.,The Water Sprite,(2005),Noekk,Doom,8.62,34
63.,Novembrine Waltz,(2001),Novembre,Doom,8.62,144
64.,When The Kite String Pops,(1994),Acid Bath,Doom,8.61,152
65.,Viva Emptiness,(2003),Katatonia,Doom,8.61,706
66.,"The Wind, The Trees And The Shadows Of The Past",(2007),The Morningside,Doom,8.61,41
67.,New Moon,(2009),Swallow The Sun,Doom,8.61,457
68.,Burning: A Wish,(2001),Lacrimas Profundere,Doom,8.60,96
69.,Bloody Kisses,(1993),Type O Negative,Doom,8.60,384
70.,Human Antithesis,(2004),Void Of Silence,Doom,8.60,52
71.,Headstones,(1995),Lake Of Tears,Doom,8.59,133
72.,Antithesis Of Light,(2005),Evoken,Doom,8.59,134
73.,Slow Transcending Agony,(2005),Ataraxie,Doom,8.59,46
74.,Psalm 9,(1984),Trouble,Doom,8.59,73
75.,Dopethrone,(2000),Electric Wizard,Doom,8.58,180
76.,Origin,(2013),Enshine,Doom,8.58,215
77.,Hope,(2007),Swallow The Sun,Doom,8.58,377
78.,Giving Yourself Away,(2007),Officium Triste,Doom,8.58,74
79.,In The Rectory Of The Bizarre Reverend,(2002),Reverend Bizarre,Doom,8.57,61
80.,The Maniacal Vale,(2008),Esoteric,Doom,8.57,212
81.,By Honour,(2008),Ereb Altor,Doom,8.57,23
82.,Last Fair Deal Gone Down,(2001),Katatonia,Doom,8.56,526
83.,The June Frost,(2009),Mournful Congregation,Doom,8.56,41
84.,Silent Stage,(2005),Rapture,Doom,8.56,118
85.,Alone,(2006),Solitude Aeturnus,Doom,8.55,84
86.,Draining The Waterheart,(2008),Mar De Grises,Doom,8.55,130
87.,"Songs From The North I, II & III",(2015),Swallow The Sun,Doom,8.55,268
88.,Songs For The Withering,(2002),Rapture,Doom,8.55,120
89.,The Pale Haunt Departure,(2005),Novembers Doom,Doom,8.55,198
90.,Like Gods Of The Sun,(1996),My Dying Bride,Doom,8.55,378
91.,The Light At The End Of The World,(1999),My Dying Bride,Doom,8.54,352
92.,The End,(2010),Ereb Altor,Doom,8.53,36
93.,Classica,(2000),Novembre,Doom,8.53,133
94.,Streams Inwards,(2010),Mar De Grises,Doom,8.53,184
95.,Tears Laid In Earth,(1994),The 3rd And The Mortal,Doom,8.53,92
96.,Pentagram,(1985),Pentagram,Doom,8.53,70
97.,Evershade,(2003),Yearning,Doom,8.53,49
98.,La Naissance D&#039;Un R&ecirc;ve,(1997),Lacrimas Profundere,Doom,8.53,60
99.,A Caress Of The Void,(2007),Evoken,Doom,8.53,73
100.,The Secret Kingdom,(2001),Avrigus,Doom,8.53,30
1.,Blackwater Park,(2001),Opeth,Progressive,9.19,2576
2.,Still Life,(1999),Opeth,Progressive,9.08,1661
3.,Images And Words,(1992),Dream Theater,Progressive,9.08,1557
4.,Metropolis Pt. 2: Scenes From A Memory,(1999),Dream Theater,Progressive,9.05,1394
5.,Suspended Animation,(2005),John Petrucci,Progressive,9.00,78
6.,Lateralus,(2001),Tool,Progressive,9.00,1047
7.,Ghost Reveries,(2005),Opeth,Progressive,8.97,1828
8.,Dead Heart In A Dead World,(2000),Nevermore,Progressive,8.96,839
9.,Fullblast,(2009),Kiko Loureiro,Progressive,8.95,20
10.,Affliction XXIX II MXMVI,(2010),Blindead,Progressive,8.95,91
11.,The Human Equation,(2004),Ayreon,Progressive,8.94,823
12.,This Godless Endeavor,(2005),Nevermore,Progressive,8.94,971
13.,"Light Of Day, Day Of Darkness",(2001),Green Carnation,Progressive,8.92,410
14.,&AElig;nima,(1996),Tool,Progressive,8.88,856
15.,Fear Of A Blank Planet,(2007),Porcupine Tree,Progressive,8.87,667
16.,"The Perfect Element, Part I",(2000),Pain Of Salvation,Progressive,8.86,402
17.,Out Of Myself,(2003),Riverside,Progressive,8.86,373
18.,Morningrise,(1996),Opeth,Progressive,8.86,1260
19.,Remedy Lane,(2002),Pain Of Salvation,Progressive,8.86,451
20.,Mercy Falls,(2008),Seventh Wonder,Progressive,8.86,180
21.,Purgatory Dance Party,(2007),Polkadot Cadaver,Progressive,8.85,27
22.,Sola Scriptura,(2007),Neal Morse,Progressive,8.83,35
23.,Deadwing,(2005),Porcupine Tree,Progressive,8.82,586
24.,"My Arms, Your Hearse",(1998),Opeth,Progressive,8.81,1197
25.,Tyranny,(1998),Shadow Gallery,Progressive,8.81,138
26.,Perpetual Burn,(1988),Jason Becker,Progressive,8.81,64
27.,Rebel Mind,(2011),Eumeria,Progressive,8.81,31
28.,The Fragile Art Of Existence,(1999),Control Denied,Progressive,8.81,348
29.,Second Life Syndrome,(2005),Riverside,Progressive,8.80,452
30.,Ocean Machine: Biomech,(1997),Devin Townsend,Progressive,8.80,315
31.,Back To Times Of Splendor,(2004),Disillusion,Progressive,8.79,227
32.,The Divine Wings Of Tragedy,(1997),Symphony X,Progressive,8.79,678
33.,Testimony 2,(2011),Neal Morse,Progressive,8.78,23
34.,The Art Of Navigating By The Stars,(2005),Sieges Even,Progressive,8.77,102
35.,Intelligent Design,(2006),Shaolin Death Squad,Progressive,8.76,25
36.,Tales From The Thousand Lakes,(1994),Amorphis,Progressive,8.76,763
37.,Core,(2006),Persefone,Progressive,8.75,159
38.,Deliverance,(2002),Opeth,Progressive,8.74,1502
39.,Nothingface,(1989),Voivod,Progressive,8.74,164
40.,Tall Poppy Syndrome,(2009),Leprous,Progressive,8.74,231
41.,The Locust Years,(2006),Hammers Of Misfortune,Progressive,8.74,27
42.,2 Unlimited,(2008),Pin-Up Went Down,Progressive,8.74,27
43.,?,(2005),Neal Morse,Progressive,8.73,33
44.,The Odyssey,(2002),Symphony X,Progressive,8.73,735
45.,Paradise Lost,(2007),Symphony X,Progressive,8.73,940
46.,Subsurface,(2004),Threshold,Progressive,8.72,122
47.,Into The Electric Castle,(1998),Ayreon,Progressive,8.72,428
48.,Acid Mist Tomorrow,(2012),Hypno5e,Progressive,8.71,70
49.,Enigmatic : Calling,(2005),Pagan&#039;s Mind,Progressive,8.71,164
50.,Suspended Animation Dreams,(2005),Subterranean Masquerade,Progressive,8.71,52
51.,Omnio,(1997),In The Woods...,Progressive,8.71,136
52.,Ziltoid The Omniscient,(2007),Devin Townsend,Progressive,8.70,419
53.,Awake,(1994),Dream Theater,Progressive,8.70,1115
54.,Burn The Sun,(2001),Ark,Progressive,8.69,135
55.,V: The New Mythology Suite,(2000),Symphony X,Progressive,8.68,600
56.,Hypothetical,(2001),Threshold,Progressive,8.68,99
57.,Animals As Leaders,(2009),Animals As Leaders,Progressive,8.68,290
58.,One,(2004),Neal Morse,Progressive,8.68,22
59.,01011001,(2008),Ayreon,Progressive,8.67,699
60.,Dimension Hatr&ouml;ss,(1988),Voivod,Progressive,8.67,153
61.,Bilateral,(2011),Leprous,Progressive,8.66,318
62.,Moontower,(1999),Dan Swan&ouml;,Progressive,8.66,144
63.,Office Of Strategic Influence,(2003),OSI,Progressive,8.66,73
64.,Isolate,(2007),Circus Maximus,Progressive,8.66,233
65.,Ink Compatible,(2004),Spastic Ink,Progressive,8.66,32
66.,Under The Red Cloud,(2015),Amorphis,Progressive,8.66,594
67.,Watershed,(2008),Opeth,Progressive,8.66,1754
68.,Tyranny Of Therapy,(2007),Division By Zero,Progressive,8.65,20
69.,Shrouded Divine,(2008),In Mourning,Progressive,8.65,376
70.,Terria,(2001),Devin Townsend,Progressive,8.65,325
71.,Exivious,(2009),Exivious,Progressive,8.65,62
72.,The Machinations Of Dementia,(2007),Blotted Science,Progressive,8.65,142
73.,In Search Of Truth,(2001),Evergrey,Progressive,8.65,296
74.,The August Engine,(2003),Hammers Of Misfortune,Progressive,8.64,28
75.,Feathergun,(2009),Rishloo,Progressive,8.64,28
76.,Snowfall On Judgment Day,(2009),Redemption,Progressive,8.64,179
77.,Woodland Prattlers,(2004),Mechanical Poet,Progressive,8.63,35
78.,Dragon&#039;s Kiss,(1988),Marty Friedman,Progressive,8.63,57
79.,Still,(2006),Wolverine,Progressive,8.63,41
80.,The Black Mages,(2003),The Black Mages,Progressive,8.63,35
81.,Paramount,(2007),Sieges Even,Progressive,8.62,55
82.,Perspective,(1996),Jason Becker,Progressive,8.62,32
83.,Parallels,(1991),Fates Warning,Progressive,8.62,161
84.,Recreation Day,(2003),Evergrey,Progressive,8.62,329
85.,Liquid Tension Experiment,(1998),Liquid Tension Experiment,Progressive,8.62,162
86.,Phlegethon,(2010),Kingcrow,Progressive,8.62,63
87.,Dreaming Neon Black,(1999),Nevermore,Progressive,8.62,492
88.,Fuzz Universe,(2010),Paul Gilbert,Progressive,8.62,24
89.,Bleeding,(1996),Psychotic Waltz,Progressive,8.61,67
90.,Spiritech,(1997),Alchemist,Progressive,8.60,50
91.,Accelerated Evolution,(2003),Devin Townsend,Progressive,8.60,247
92.,The Great Escape,(2010),Seventh Wonder,Progressive,8.59,138
93.,Liquid Tension Experiment 2,(1999),Liquid Tension Experiment,Progressive,8.59,140
94.,Sound Awake,(2009),Karnivool,Progressive,8.59,107
95.,"10,000 Days",(2006),Tool,Progressive,8.59,769
96.,The Towers Of Avarice,(2001),Zero Hour,Progressive,8.59,37
97.,The Old Man And The Spirit,(2012),Beyond The Bridge,Progressive,8.59,59
98.,Portal Of I,(2012),Ne Obliviscaris,Progressive,8.59,643
99.,MoonBabies,(2002),Planet X,Progressive,8.58,24
100.,Different Shapes,(2007),DGM,Progressive,8.58,53
1.,Kyuss,(1994),Kyuss,Stoner,8.82,267
2.,Crack The Skye,(2009),Mastodon,Stoner,8.72,1003
3.,Superunknown,(1994),Soundgarden,Stoner,8.70,222
4.,Macho Libre,(2011),Planet Of Zeus,Stoner,8.62,21
5.,Ad Astra,(2000),Spiritual Beggars,Stoner,8.59,98
6.,Nola,(1995),Down,Stoner,8.58,294
7.,Dopethrone,(2000),Electric Wizard,Stoner,8.58,180
8.,Firewood,(2005),Witchcraft,Stoner,8.55,51
9.,Blues For The Red Sun,(1992),Kyuss,Stoner,8.54,227
10.,Death Is This Communion,(2007),High On Fire,Stoner,8.52,152
11.,Songs For The Deaf,(2002),Queens Of The Stone Age,Stoner,8.52,286
12.,Sleep&#039;s Holy Mountain,(1993),Sleep,Stoner,8.51,97
13.,Badmotorfinger,(1991),Soundgarden,Stoner,8.51,160
14.,Conference Of The Birds,(2006),Om,Stoner,8.50,40
15.,Mantra III,(1998),Spiritual Beggars,Stoner,8.49,53
16.,Solar Lovers,(1995),Celestial Season,Stoner,8.48,23
17.,Open Fire,(2007),Alabama Thunderpussy,Stoner,8.48,21
18.,Deliverance,(1994),Corrosion Of Conformity,Stoner,8.46,125
19.,The Cosmic Child,(2013),New Keepers Of The Water Towers,Stoner,8.44,43
20.,I,(2006),Sahg,Stoner,8.43,35
21.,Weedpecker,(2013),Weedpecker,Stoner,8.42,36
22.,On Fire,(2002),Spiritual Beggars,Stoner,8.42,76
23.,Blessed Black Wings,(2005),High On Fire,Stoner,8.42,101
24.,Frequencies From Planet Ten,(1997),Orange Goblin,Stoner,8.41,34
25.,Pink,(2005),Boris,Stoner,8.41,49
26.,The Great Cessation,(2009),Yob,Stoner,8.40,25
27.,The Action Is Go,(1997),Fu Manchu,Stoner,8.40,20
28.,The Unreal Never Lived,(2005),Yob,Stoner,8.38,24
29.,Powertrip,(1998),Monster Magnet,Stoner,8.38,88
30.,Pilgrimage,(2007),Om,Stoner,8.38,40
31.,Age Of Winters,(2006),The Sword,Stoner,8.38,110
32.,Dopes To Infinity,(1995),Monster Magnet,Stoner,8.36,61
33.,...And The Circus Leaves Town,(1995),Kyuss,Stoner,8.35,144
34.,The Carnival Bizarre,(1995),Cathedral,Stoner,8.34,116
35.,Demons,(2005),Spiritual Beggars,Stoner,8.34,64
36.,Last Patrol,(2013),Monster Magnet,Stoner,8.34,56
37.,In The Arms Of God,(2005),Corrosion Of Conformity,Stoner,8.34,68
38.,Murder The Mountains,(2011),Red Fang,Stoner,8.34,83
39.,Gods Of The Earth,(2008),The Sword,Stoner,8.32,99
40.,CVI,(2012),Royal Thunder,Stoner,8.31,107
41.,The Alchemist,(2007),Witchcraft,Stoner,8.30,47
42.,Boris At Last - Feedbacker,(2003),Boris,Stoner,8.30,30
43.,God Is Good,(2009),Om,Stoner,8.30,54
44.,Warp Riders,(2010),The Sword,Stoner,8.29,104
45.,Time Travelling Blues,(1998),Orange Goblin,Stoner,8.29,31
46.,Flood,(2000),Boris,Stoner,8.28,32
47.,Witchcraft,(2004),Witchcraft,Stoner,8.28,53
48.,Superjudge,(1993),Monster Magnet,Stoner,8.24,38
49.,The Big Black,(2000),Orange Goblin,Stoner,8.24,37
50.,In Dreams And Time,(2012),Ancestors,Stoner,8.24,49
51.,Advaitic Songs,(2012),Om,Stoner,8.22,69
52.,Lore,(2015),Elder,Stoner,8.22,59
53.,We Live,(2004),Electric Wizard,Stoner,8.22,49
54.,Blind,(1991),Corrosion Of Conformity,Stoner,8.21,68
55.,Witchcult Today,(2007),Electric Wizard,Stoner,8.20,86
56.,Once More &#039;Round The Sun,(2014),Mastodon,Stoner,8.19,453
57.,The Hunter,(2011),Mastodon,Stoner,8.18,641
58.,Rated R,(2000),Queens Of The Stone Age,Stoner,8.18,145
59.,Amplifier Worship,(1998),Boris,Stoner,8.17,36
60.,Clearing The Path To Ascend,(2014),Yob,Stoner,8.17,83
61.,Come My Fanatics...,(1997),Electric Wizard,Stoner,8.16,81
62.,Eve,(2010),Ufomammut,Stoner,8.15,40
63.,Ritual Abuse,(2010),Cough,Stoner,8.15,20
64.,De Vermis Mysteriis,(2012),High On Fire,Stoner,8.14,158
65.,Legend,(2012),Witchcraft,Stoner,8.13,111
66.,The Ethereal Mirror,(1993),Cathedral,Stoner,8.11,123
67.,Apocryphon,(2012),The Sword,Stoner,8.09,79
68.,The Fall Of Altrusia,(2011),Sleestak,Stoner,8.09,22
69.,Idolum,(2008),Ufomammut,Stoner,8.08,38
70.,...Like Clockwork,(2013),Queens Of The Stone Age,Stoner,8.08,123
71.,Houses Of The Unholy,(2009),Church Of Misery,Stoner,8.07,28
72.,Thy Kingdom Scum,(2013),Church Of Misery,Stoner,8.05,20
73.,Down III: Over The Under,(2007),Down,Stoner,8.05,191
74.,Variations On A Theme,(2005),Om,Stoner,8.04,28
75.,Red Fang,(2009),Red Fang,Stoner,8.04,50
76.,Earth Blues,(2013),Spiritual Beggars,Stoner,8.03,65
77.,Wiseblood,(1996),Corrosion Of Conformity,Stoner,8.03,79
78.,Back From The Abyss,(2014),Orange Goblin,Stoner,8.03,38
79.,Crooked Doors,(2015),Royal Thunder,Stoner,8.02,82
80.,A Eulogy For The Damned,(2012),Orange Goblin,Stoner,8.02,64
81.,Snakes For The Divine,(2010),High On Fire,Stoner,8.01,179
1.,The Number Of The Beast,(1982),Iron Maiden,Heavy,9.14,2263
2.,Painkiller,(1990),Judas Priest,Heavy,9.13,1692
3.,Powerslave,(1984),Iron Maiden,Heavy,9.11,2119
4.,Paranoid,(1970),Black Sabbath,Heavy,9.10,1440
5.,Led Zeppelin IV,(1971),Led Zeppelin,Heavy,9.10,955
6.,Operation: Mindcrime,(1988),Queensr&yuml;che,Heavy,9.08,825
7.,Rising,(1976),Rainbow,Heavy,9.05,556
8.,Seventh Son Of A Seventh Son,(1988),Iron Maiden,Heavy,9.03,1917
9.,Machine Head,(1972),Deep Purple,Heavy,9.02,583
10.,Holy Diver,(1983),Dio,Heavy,9.01,964
11.,Black Sabbath,(1970),Black Sabbath,Heavy,9.01,1151
12.,...And The Cannons Of Destruction Have Begun,(1984),Warlord,Heavy,8.98,54
13.,Dead Heart In A Dead World,(2000),Nevermore,Heavy,8.96,839
14.,Heaven And Hell,(1980),Black Sabbath,Heavy,8.96,895
15.,This Godless Endeavor,(2005),Nevermore,Heavy,8.94,971
16.,Transcendence,(1988),Crimson Glory,Heavy,8.93,230
17.,The Crimson Idol,(1992),W.A.S.P.,Heavy,8.93,395
18.,Master Of Reality,(1971),Black Sabbath,Heavy,8.92,974
19.,Dirt,(1992),Alice In Chains,Heavy,8.90,670
20.,Led Zeppelin II,(1969),Led Zeppelin,Heavy,8.89,610
21.,In Rock,(1970),Deep Purple,Heavy,8.89,407
22.,Don&#039;t Break The Oath,(1984),Mercyful Fate,Heavy,8.88,494
23.,Abigail,(1987),King Diamond,Heavy,8.87,573
24.,Piece Of Mind,(1983),Iron Maiden,Heavy,8.87,1728
25.,Melissa,(1983),Mercyful Fate,Heavy,8.87,486
26.,Invictus,(1998),Virgin Steele,Heavy,8.87,146
27.,Black Hand Inn,(1994),Running Wild,Heavy,8.86,206
28.,Gutter Ballet,(1989),Savatage,Heavy,8.85,342
29.,Led Zeppelin,(1969),Led Zeppelin,Heavy,8.85,602
30.,Van Halen,(1978),Van Halen,Heavy,8.84,281
31.,Death Or Glory,(1989),Running Wild,Heavy,8.83,213
32.,Ace Of Spades,(1980),Mot&ouml;rhead,Heavy,8.82,642
33.,Somewhere In Time,(1986),Iron Maiden,Heavy,8.82,1595
34.,ThunderSteel,(1988),Riot V,Heavy,8.81,117
35.,Perpetual Burn,(1988),Jason Becker,Heavy,8.81,64
36.,In Control,(1989),Heavens Gate,Heavy,8.80,30
37.,Overkill,(1979),Mot&ouml;rhead,Heavy,8.80,464
38.,Future World,(1987),Pretty Maids,Heavy,8.80,81
39.,Screaming For Vengeance,(1982),Judas Priest,Heavy,8.80,957
40.,Hall Of The Mountain King,(1987),Savatage,Heavy,8.80,382
41.,The Headless Children,(1989),W.A.S.P.,Heavy,8.77,272
42.,Ritchie Blackmore&#039;s Rainbow,(1975),Rainbow,Heavy,8.77,357
43.,Fire Down Under,(1981),Riot V,Heavy,8.77,82
44.,Lightning To The Nations,(1980),Diamond Head,Heavy,8.77,159
45.,Sabbath Bloody Sabbath,(1973),Black Sabbath,Heavy,8.76,820
46.,&#1048;&#1075;&#1088;&#1072; &#1057; &#1054;&#1075;&#1085;&#1105;&#1084;,(1989),Aria,Heavy,8.75,56
47.,The Chemical Wedding,(1998),Bruce Dickinson,Heavy,8.74,371
48.,Blackout,(1982),Scorpions,Heavy,8.74,292
49.,Crimson Glory,(1986),Crimson Glory,Heavy,8.74,141
50.,Defenders Of The Faith,(1984),Judas Priest,Heavy,8.73,759
51.,Physical Graffiti,(1975),Led Zeppelin,Heavy,8.73,424
52.,Long Live Rock &#039;N&#039; Roll,(1978),Rainbow,Heavy,8.72,328
53.,Wiped Out,(1982),Raven,Heavy,8.72,39
54.,Something Wicked This Way Comes,(1998),Iced Earth,Heavy,8.71,830
55.,Sad Wings Of Destiny,(1976),Judas Priest,Heavy,8.71,663
56.,Traveller,(2003),The Lord Weird Slough Feg,Heavy,8.70,46
57.,All For One,(1983),Raven,Heavy,8.70,47
58.,Taking The World By Storm,(1989),Demon,Heavy,8.70,20
59.,Blizzard Of Ozz,(1980),Ozzy Osbourne,Heavy,8.70,597
60.,One For All,(2000),Raven,Heavy,8.70,23
61.,Burn The Sun,(2001),Ark,Heavy,8.69,135
62.,Restless And Wild,(1982),Accept,Heavy,8.69,328
63.,W.A.S.P.,(1984),W.A.S.P.,Heavy,8.69,324
64.,The Last In Line,(1984),Dio,Heavy,8.69,475
65.,Metal Church,(1984),Metal Church,Heavy,8.68,255
66.,Brave New World,(2000),Iron Maiden,Heavy,8.68,1563
67.,Port Royal,(1988),Running Wild,Heavy,8.68,182
68.,Walk Through Fire,(2009),Raven,Heavy,8.67,30
69.,The Cold White Light,(2002),Sentenced,Heavy,8.66,419
70.,Mystification,(1987),Manilla Road,Heavy,8.66,29
71.,Down Among The Deadmen,(2000),The Lord Weird Slough Feg,Heavy,8.66,32
72.,Edge Of Thorns,(1993),Savatage,Heavy,8.66,290
73.,Inferno,(2004),Mot&ouml;rhead,Heavy,8.66,351
74.,Iron Maiden,(1980),Iron Maiden,Heavy,8.65,1436
75.,Lita,(1988),Lita Ford,Heavy,8.65,26
76.,Nothing Exceeds Like Excess,(1988),Raven,Heavy,8.65,31
77.,Slave To The Grind,(1991),Skid Row,Heavy,8.65,292
78.,Burnt Offerings,(1995),Iced Earth,Heavy,8.64,614
79.,Nosferatu,(2005),Bloodbound,Heavy,8.64,83
80.,The House Of Atreus Act I,(1999),Virgin Steele,Heavy,8.64,106
81.,Diary Of A Madman,(1981),Ozzy Osbourne,Heavy,8.63,389
82.,Dragon&#039;s Kiss,(1988),Marty Friedman,Heavy,8.63,57
83.,Balls To The Wall,(1983),Accept,Heavy,8.63,385
84.,Never Turn Your Back On A Friend,(1973),Budgie,Heavy,8.63,35
85.,Symbol Of Salvation,(1991),Armored Saint,Heavy,8.62,87
86.,Hands Without Shadows,(2005),Michael Angelo Batio,Heavy,8.62,21
87.,Love At First Sting,(1984),Scorpions,Heavy,8.62,277
88.,Answer To The Master,(1994),Impellitteri,Heavy,8.62,24
89.,Perspective,(1996),Jason Becker,Heavy,8.62,32
90.,Defying The Rules,(2004),Hibria,Heavy,8.62,108
91.,Dreaming Neon Black,(1999),Nevermore,Heavy,8.62,492
92.,Night Of The Stormrider,(1992),Iced Earth,Heavy,8.62,534
93.,Fuzz Universe,(2010),Paul Gilbert,Heavy,8.62,24
94.,The Longest Night,(2006),Pharaoh,Heavy,8.62,24
95.,Time Tells No Lies,(1981),Praying Mantis,Heavy,8.61,28
96.,...R&oacute;&#380;e Mi&#322;o&#347;ci Najch&#281;tniej Przyjmuj&#261; Si&#281; Na Grobach,(1996),Kat,Heavy,8.61,33
97.,The House Of Atreus Act II,(2000),Virgin Steele,Heavy,8.61,85
98.,No More Tears,(1991),Ozzy Osbourne,Heavy,8.61,444
99.,Conspiracy,(1989),King Diamond,Heavy,8.61,315
100.,Accident Of Birth,(1997),Bruce Dickinson,Heavy,8.61,298
1.,Acid Mist Tomorrow,(2012),Hypno5e,Math,8.71,70
2.,Destroy Erase Improve,(1995),Meshuggah,Math,8.56,383
3.,Death Of A Dead Day,(2006),SikTh,Math,8.55,71
4.,Sol Niger Within,(1997),Fredrik Thordendal&#039;s Special Defects,Math,8.55,44
5.,Silhouettes,(2008),Textures,Math,8.53,142
6.,Chaosphere,(1998),Meshuggah,Math,8.49,329
7.,ObZen,(2008),Meshuggah,Math,8.48,520
8.,Drawing Circles,(2006),Textures,Math,8.46,112
9.,One,(2011),TesseracT,Math,8.43,213
10.,Nothing,(2002),Meshuggah,Math,8.41,321
11.,Assimilate Regenerate,(2011),Paul Wardingham,Math,8.35,74
12.,Altered State,(2013),TesseracT,Math,8.31,179
13.,"The Trees Are Dead And Dried Out, Wait For Something Wild",(2003),SikTh,Math,8.30,63
14.,Unorthodox Creative Criteria,(2005),Coprofago,Math,8.29,34
15.,M&aring;sstaden,(2011),Vildhjarta,Math,8.27,113
16.,Periphery,(2010),Periphery,Math,8.21,148
17.,Blinding White Noise: Illusion & Chaos,(2012),Skyharbor,Math,8.21,61
18.,Periphery II: This Time It&#039;s Personal,(2012),Periphery,Math,8.18,143
19.,Dualism,(2011),Textures,Math,8.18,159
20.,Catch Thirtythree,(2005),Meshuggah,Math,8.18,307
21.,III,(2014),Xerath,Math,8.17,102
22.,The Amanuensis,(2014),Monuments,Math,8.16,38
23.,The Human Affliction,(2015),Paul Wardingham,Math,8.15,27
24.,Calculating Infinity,(1999),The Dillinger Escape Plan,Math,8.14,97
25.,Koloss,(2012),Meshuggah,Math,8.10,411
26.,Miss Machine,(2004),The Dillinger Escape Plan,Math,8.09,104
27.,II,(2011),Xerath,Math,8.01,87
1.,"Light Of Day, Day Of Darkness",(2001),Green Carnation,Gothic,8.92,410
2.,Wildhoney,(1994),Tiamat,Gothic,8.91,536
3.,Mandylion,(1995),The Gathering,Gothic,8.91,473
4.,Draconian Times,(1995),Paradise Lost,Gothic,8.85,684
5.,Forever Autumn,(1999),Lake Of Tears,Gothic,8.84,219
6.,A&eacute;gis,(1998),Theatre Of Tragedy,Gothic,8.80,325
7.,Stormbirds,(1998),Evereve,Gothic,8.77,48
8.,Diva,(1996),Heavenwood,Gothic,8.77,69
9.,Widow&#039;s Weeds,(1998),Tristania,Gothic,8.76,353
10.,Requiem - Mezzo Forte,(2007),Virgin Black,Gothic,8.76,182
11.,Betray My Secrets,(1999),Betray My Secrets,Gothic,8.76,25
12.,Beyond The Veil,(1999),Tristania,Gothic,8.76,428
13.,Elodia,(1999),Lacrimosa,Gothic,8.75,206
14.,Stille,(1997),Lacrimosa,Gothic,8.75,138
15.,Days Of Nothing,(2007),The Foreshadowing,Gothic,8.75,158
16.,The Nameless Disease,(2003),The Old Dead Tree,Gothic,8.74,74
17.,Velvet Darkness They Fear,(1996),Theatre Of Tragedy,Gothic,8.71,308
18.,R&euml;v&euml;&uuml;rt,(2011),&Ouml;xx&ouml; X&ouml;&ouml;x,Gothic,8.71,21
19.,Irreligious,(1996),Moonspell,Gothic,8.70,542
20.,Nighttime Birds,(1997),The Gathering,Gothic,8.69,328
21.,Icon,(1993),Paradise Lost,Gothic,8.69,544
22.,Pulse,(2006),SpiRitual,Gothic,8.69,55
23.,Lake Of Sorrow,(1998),The Sins Of Thy Beloved,Gothic,8.68,188
24.,Memorandum,(1999),Lacrimas Profundere,Gothic,8.66,106
25.,Terrestrials,(2002),Atrox,Gothic,8.65,20
26.,Dopoguerra,(2005),Klimt 1918,Gothic,8.63,46
27.,October Rust,(1996),Type O Negative,Gothic,8.63,325
